FID,FID_,ComuneCata,TipoColtur,Variet_,Bodenart__,Humus____,pH_Wert__i,Karbonate_,Kalkbedarf,Phosphat__,Kali__K_O_,Magnesium_,Bor__B__im,Mangan__Mn,Kupfer__Cu,Zink__Zn__,NUM,ID_string,ID_suolo,Num_Soil,Soil_newCl,Schluff,Tonig,Sand,x_Coord,y_Coord
4100,12978,736 - Partschins,01 - Obstbau,03 - Braeburn,humoser lehmiger Sand,5.800000000000000,5.600000000000000,0  kein freies Karbonat,10.000000000000000,12.000000000000000,16.000000000000000,16.000000000000000,0.390000000000000,13.000000000000000,11.000000000000000,4.000000000000000,293/1,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,659073.000000000000000,5171702.000000000000000
4101,12979,736 - Partschins,01 - Obstbau,45 - Verschiedene,humoser lehmiger Sand,4.200000000000000,6.300000000000000,+  geringer bis mittlerer Karbonatgehalt,0.000000000000000,30.000000000000000,20.000000000000000,28.000000000000000,0.660000000000000,29.000000000000000,11.000000000000000,32.000000000000000,1374/2,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,658073.000000000000000,5171695.000000000000000
4102,12980,736 - Partschins,01 - Obstbau,23 - Golden Delicious,humoser lehmiger Sand,5.400000000000000,5.700000000000000,0  kein freies Karbonat,5.000000000000000,19.000000000000000,18.000000000000000,15.000000000000000,0.370000000000000,17.000000000000000,10.000000000000000,6.000000000000000,309,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,658839.000000000000000,5171686.000000000000000
4103,12981,736 - Partschins,01 - Obstbau, ,sandiger Schluff,3.700000000000000,5.300000000000000,0  kein freies Karbonat,31.000000000000000,0.000000000000000,7.000000000000000,18.000000000000000,0.190000000000000,9.000000000000000,8.000000000000000,1.000000000000000,1364/1,20,Limoso sabbioso,20,sandiger Schluff,65.000000000000000,5.000000000000000,30.000000000000000,658187.000000000000000,5171696.000000000000000
4104,12982,736 - Partschins,01 - Obstbau,23 - Golden Delicious,lehmiger Sand,3.800000000000000,6.200000000000000,+  geringer bis mittlerer Karbonatgehalt,0.000000000000000,33.000000000000000,13.000000000000000,17.000000000000000,0.480000000000000,23.000000000000000,8.000000000000000,5.000000000000000,327/1,17,Sabbioso franco,17,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,658728.000000000000000,5171658.000000000000000
4105,12983,736 - Partschins,01 - Obstbau,45 - Verschiedene,humoser lehmiger Sand,4.700000000000000,6.300000000000000,0  kein freies Karbonat,0.000000000000000,18.000000000000000,31.000000000000000,26.000000000000000,0.790000000000000,29.000000000000000,12.000000000000000,7.000000000000000,1364/4,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,658140.000000000000000,5171684.000000000000000
4106,12984,736 - Partschins,01 - Obstbau,23 - Golden Delicious,lehmiger Sand,3.800000000000000,6.200000000000000,+  geringer bis mittlerer Karbonatgehalt,0.000000000000000,33.000000000000000,13.000000000000000,17.000000000000000,0.480000000000000,23.000000000000000,8.000000000000000,5.000000000000000,325/2,17,Sabbioso franco,17,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,658635.000000000000000,5171660.000000000000000
4107,12985,736 - Partschins,01 - Obstbau,35 - Nicoter Kanzi?,humoser lehmiger Sand,4.200000000000000,5.800000000000000,0  kein freies Karbonat,0.000000000000000,7.000000000000000,12.000000000000000,20.000000000000000,0.360000000000000,26.000000000000000,9.000000000000000,5.000000000000000,1367/1,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,658085.000000000000000,5171651.000000000000000
4108,12986,736 - Partschins,01 - Obstbau,37 - Pinova,humoser schwach lehmiger Sand,5.400000000000000,6.200000000000000,0  kein freies Karbonat,0.000000000000000,19.000000000000000,34.000000000000000,20.000000000000000,0.460000000000000,28.000000000000000,8.000000000000000,1.000000000000000,306,13,mediamente dotato di humus Sabbioso debolmente franco,13,lehmiger Sand,20.000000000000000,7.000000000000000,73.000000000000000,658964.000000000000000,5171633.000000000000000
4109,12987,736 - Partschins,01 - Obstbau,23 - Golden Delicious,lehmiger Sand,2.900000000000000,6.300000000000000,+  geringer bis mittlerer Karbonatgehalt,0.000000000000000,13.000000000000000,13.000000000000000,18.000000000000000,0.580000000000000,20.000000000000000,14.000000000000000,4.000000000000000,1390,17,Sabbioso franco,17,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,657927.000000000000000,5171658.000000000000000
4110,12989,736 - Partschins,01 - Obstbau,45 - Verschiedene,humoser lehmiger Sand,5.300000000000000,6.800000000000000,+  geringer bis mittlerer Karbonatgehalt,0.000000000000000,25.000000000000000,30.000000000000000,19.000000000000000,0.470000000000000,21.000000000000000,15.000000000000000,19.000000000000000,274,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,659368.000000000000000,5171602.000000000000000
4111,12990,736 - Partschins,01 - Obstbau,23 - Golden Delicious,lehmiger Sand,2.900000000000000,6.300000000000000,+  geringer bis mittlerer Karbonatgehalt,0.000000000000000,13.000000000000000,13.000000000000000,18.000000000000000,0.580000000000000,20.000000000000000,14.000000000000000,4.000000000000000,1391,17,Sabbioso franco,17,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,657980.000000000000000,5171635.000000000000000
4112,12991,736 - Partschins,01 - Obstbau,23 - Golden Delicious,humoser lehmiger Sand,5.100000000000000,5.700000000000000,0  kein freies Karbonat,5.000000000000000,23.000000000000000,16.000000000000000,22.000000000000000,0.610000000000000,22.000000000000000,9.000000000000000,11.000000000000000,435/1,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,659085.000000000000000,5171536.000000000000000
4113,12992,736 - Partschins,01 - Obstbau,23 - Golden Delicious,schwach lehmiger Sand,3.000000000000000,5.800000000000000,0  kein freies Karbonat,0.000000000000000,9.000000000000000,11.000000000000000,26.000000000000000,0.250000000000000,17.000000000000000,11.000000000000000,83.000000000000000,433/1,24,Sabbioso debolmente franco,24,lehmiger Sand,20.000000000000000,7.000000000000000,73.000000000000000,659126.000000000000000,5171620.000000000000000
4114,12993,736 - Partschins,01 - Obstbau,19 - Gala,humoser lehmiger Sand,4.700000000000000,6.600000000000000,+  geringer bis mittlerer Karbonatgehalt,0.000000000000000,14.000000000000000,11.000000000000000,36.000000000000000,0.350000000000000,16.000000000000000,11.000000000000000,4.000000000000000,342,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,658500.000000000000000,5171581.000000000000000
4115,12994,736 - Partschins,01 - Obstbau,03 - Braeburn,schwach lehmiger Sand,3.800000000000000,6.300000000000000,+  geringer bis mittlerer Karbonatgehalt,0.000000000000000,21.000000000000000,20.000000000000000,15.000000000000000,0.690000000000000,19.000000000000000,12.000000000000000,3.000000000000000,1400/1,24,Sabbioso debolmente franco,24,lehmiger Sand,20.000000000000000,7.000000000000000,73.000000000000000,658259.000000000000000,5171536.000000000000000
4116,12996,736 - Partschins,01 - Obstbau,23 - Golden Delicious,lehmiger Sand,2.900000000000000,6.300000000000000,+  geringer bis mittlerer Karbonatgehalt,0.000000000000000,13.000000000000000,13.000000000000000,18.000000000000000,0.580000000000000,20.000000000000000,14.000000000000000,4.000000000000000,1395/1,17,Sabbioso franco,17,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,657933.000000000000000,5171610.000000000000000
4117,12997,736 - Partschins,01 - Obstbau,23 - Golden Delicious,lehmiger Sand,2.900000000000000,6.300000000000000,+  geringer bis mittlerer Karbonatgehalt,0.000000000000000,13.000000000000000,13.000000000000000,18.000000000000000,0.580000000000000,20.000000000000000,14.000000000000000,4.000000000000000,1396,17,Sabbioso franco,17,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,657927.000000000000000,5171622.000000000000000
4118,12998,736 - Partschins,01 - Obstbau,23 - Golden Delicious,lehmiger Sand,2.900000000000000,6.300000000000000,+  geringer bis mittlerer Karbonatgehalt,0.000000000000000,13.000000000000000,13.000000000000000,18.000000000000000,0.580000000000000,20.000000000000000,14.000000000000000,4.000000000000000,1395/3,17,Sabbioso franco,17,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,657973.000000000000000,5171606.000000000000000
