FID,FID_,ComuneCata,TipoColtur,Variet_,Bodenart__,Humus____,pH_Wert__i,Karbonate_,Kalkbedarf,Phosphat__,Kali__K_O_,Magnesium_,Bor__B__im,Mangan__Mn,Kupfer__Cu,Zink__Zn__,NUM,ID_string,ID_suolo,Num_Soil,Soil_newCl,Schluff,Tonig,Sand,x_Coord,y_Coord
0,0,609 - Eppan a.d.Weinstrasse,01 - Obstbau,18 - Fuji,sandiger Schluff,2.4,7.2,+  geringer bis mittlerer Karbonatgehalt,0,16,13,35,1.15,108,19,14,3706/1,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672445,5153779
1,1,609 - Eppan a.d.Weinstrasse,01 - Obstbau,18 - Fuji,sandiger Schluff,2.4,7.2,+  geringer bis mittlerer Karbonatgehalt,0,16,13,35,1.15,108,19,14,3706/2,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672420,5153724
2,2,609 - Eppan a.d.Weinstrasse,01 - Obstbau,19 - Gala,sandiger Schluff,3,7.4,++  hoher Karbonatgehalt,0,5,19,31,0.85,29,14,9,3705/4,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672306,5153693
3,3,609 - Eppan a.d.Weinstrasse,01 - Obstbau,18 - Fuji,sandiger Schluff,2,7.2,+  geringer bis mittlerer Karbonatgehalt,0,14,18,33,0.88,36,18,10,3705/16,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672228,5153512
4,4,609 - Eppan a.d.Weinstrasse,01 - Obstbau, ,sandiger Schluff,2.3,7.2,+  geringer bis mittlerer Karbonatgehalt,0,17,13,42,0.69,99,16,14,3706/4,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672375,5153432
5,5,609 - Eppan a.d.Weinstrasse,01 - Obstbau,19 - Gala,sandiger Schluff,2.3,7.3,+  geringer bis mittlerer Karbonatgehalt,0,4,15,39,0.71,51,13,8,3705/19,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672215,5153412
6,6,609 - Eppan a.d.Weinstrasse,01 - Obstbau,19 - Gala,sandiger Schluff,2.3,7.3,+  geringer bis mittlerer Karbonatgehalt,0,4,15,39,0.71,51,13,8,3705/5,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672218,5153391
7,7,609 - Eppan a.d.Weinstrasse,01 - Obstbau,43 - Stayman/Winesap,schluffiger Sand,1.9,7.2,++  hoher Karbonatgehalt,0,14,23,36,0.62,49,11,6,3706/5,23,Sabbioso limoso,23,schluffiger Sand,35,5,60,672373,5153367
8,8,609 - Eppan a.d.Weinstrasse,01 - Obstbau,19 - Gala,sandiger Schluff,2.8,7,++  hoher Karbonatgehalt,0,12,14,26,0.81,47,19,7,3695/147,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672076,5153318
9,9,609 - Eppan a.d.Weinstrasse,01 - Obstbau,19 - Gala,sandiger Schluff,2.8,7,++  hoher Karbonatgehalt,0,12,14,26,0.81,47,19,7,3695/146,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672074,5153302
10,10,609 - Eppan a.d.Weinstrasse,01 - Obstbau,39 - Red Delicious Stan,humoser toniger Schluff,6.3,7.2,+++  sehr hoher Karbonatgehalt,0,10,18,41,1.98,34,18,10,3705/11,16,mediamente dotato di humus Limoso argilloso,16,toniger Schluff,75,15,10,672210,5153233
11,11,609 - Eppan a.d.Weinstrasse,01 - Obstbau,18 - Fuji,humoser sandiger Schluff,5.4,7,++  hoher Karbonatgehalt,0,16,19,25,0.92,19,25,18,3695/142,9,mediamente dotato di humus Limoso sabbioso,9,sandiger Schluff,65,5,30,672059,5153239
12,12,609 - Eppan a.d.Weinstrasse,01 - Obstbau,18 - Fuji,humoser sandiger Schluff,5.4,7,++  hoher Karbonatgehalt,0,16,19,25,0.92,19,25,18,3695/141,9,mediamente dotato di humus Limoso sabbioso,9,sandiger Schluff,65,5,30,672050,5153224
13,13,609 - Eppan a.d.Weinstrasse,01 - Obstbau, ,toniger Schluff,3.6,7.1,+  geringer bis mittlerer Karbonatgehalt,0,11,17,45,1.44,132,16,13,3711/2,36,Limoso argilloso,36,toniger Schluff,75,15,10,672384,5153185
14,14,609 - Eppan a.d.Weinstrasse,01 - Obstbau, ,toniger Schluff,3.6,7.1,+  geringer bis mittlerer Karbonatgehalt,0,11,17,45,1.44,132,16,13,3710/3,36,Limoso argilloso,36,toniger Schluff,75,15,10,672465,5153176
15,15,609 - Eppan a.d.Weinstrasse,01 - Obstbau,18 - Fuji,humoser sandiger Schluff,5.4,7,++  hoher Karbonatgehalt,0,16,19,25,0.92,19,25,18,3695/140,9,mediamente dotato di humus Limoso sabbioso,9,sandiger Schluff,65,5,30,672053,5153207
16,16,609 - Eppan a.d.Weinstrasse,01 - Obstbau,19 - Gala,humoser sandiger Schluff,4.7,6.9,++  hoher Karbonatgehalt,0,21,18,30,1.28,28,28,13,3695/137,9,mediamente dotato di humus Limoso sabbioso,9,sandiger Schluff,65,5,30,672041,5153173
17,17,609 - Eppan a.d.Weinstrasse,01 - Obstbau,19 - Gala,humoser sandiger Schluff,4.7,6.9,++  hoher Karbonatgehalt,0,21,18,30,1.28,28,28,13,3695/136,9,mediamente dotato di humus Limoso sabbioso,9,sandiger Schluff,65,5,30,672036,5153165
18,18,609 - Eppan a.d.Weinstrasse,01 - Obstbau,45 - Verschiedene,toniger Schluff,3.5,7.2,+  geringer bis mittlerer Karbonatgehalt,0,24,21,49,1.88,117,24,13,3711/1,36,Limoso argilloso,36,toniger Schluff,75,15,10,672567,5153094
19,19,609 - Eppan a.d.Weinstrasse,01 - Obstbau,26 - Granny Smith,humoser sandiger Schluff,4.9,7.3,++  hoher Karbonatgehalt,0,20,16,32,1.31,23,25,8,3695/128,9,mediamente dotato di humus Limoso sabbioso,9,sandiger Schluff,65,5,30,672014,5153103
20,20,609 - Eppan a.d.Weinstrasse,01 - Obstbau,26 - Granny Smith,humoser sandiger Schluff,4.9,7.3,++  hoher Karbonatgehalt,0,20,16,32,1.31,23,25,8,3695/126,9,mediamente dotato di humus Limoso sabbioso,9,sandiger Schluff,65,5,30,672007,5153088
21,21,609 - Eppan a.d.Weinstrasse,01 - Obstbau,18 - Fuji,schluffiger Sand,2.7,7.1,+  geringer bis mittlerer Karbonatgehalt,0,11,9,45,1.31,106,14,16,3714,23,Sabbioso limoso,23,schluffiger Sand,35,5,60,672554,5153005
22,22,609 - Eppan a.d.Weinstrasse,01 - Obstbau,19 - Gala,sandiger Schluff,3.8,7,++  hoher Karbonatgehalt,0,20,14,35,0.99,39,25,10,3705/67,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672200,5153023
23,23,609 - Eppan a.d.Weinstrasse,01 - Obstbau,03 - Braeburn,toniger Schluff,2,7.1,+  geringer bis mittlerer Karbonatgehalt,0,1,11,44,0.65,164,15,9,3716,36,Limoso argilloso,36,toniger Schluff,75,15,10,672361,5152994
24,24,609 - Eppan a.d.Weinstrasse,01 - Obstbau,03 - Braeburn,humoser toniger Schluff,7.4,6.8,+  geringer bis mittlerer Karbonatgehalt,0,2,8,40,1.04,54,22,11,3695/120,16,mediamente dotato di humus Limoso argilloso,16,toniger Schluff,75,15,10,671988,5153042
25,25,609 - Eppan a.d.Weinstrasse,01 - Obstbau,19 - Gala,humoser sandiger Schluff,4.3,7.1,+  geringer bis mittlerer Karbonatgehalt,0,48,40,54,1.94,71,25,27,3695/119,9,mediamente dotato di humus Limoso sabbioso,9,sandiger Schluff,65,5,30,671986,5153034
26,26,609 - Eppan a.d.Weinstrasse,01 - Obstbau,45 - Verschiedene,toniger Schluff,3.1,7.3,+  geringer bis mittlerer Karbonatgehalt,0,8,9,40,1.03,90,18,9,3717/4,36,Limoso argilloso,36,toniger Schluff,75,15,10,672449,5152931
27,27,609 - Eppan a.d.Weinstrasse,01 - Obstbau,26 - Granny Smith,sandiger Schluff,3.7,6.4,+  geringer bis mittlerer Karbonatgehalt,0,17,10,41,0.95,108,37,46,3717/5,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672517,5152920
28,28,609 - Eppan a.d.Weinstrasse,01 - Obstbau,43 - Stayman/Winesap,humoser toniger Schluff,4.2,7.2,++  hoher Karbonatgehalt,0,9,22,28,1.56,31,12,7,3705/75,16,mediamente dotato di humus Limoso argilloso,16,toniger Schluff,75,15,10,672195,5152905
29,29,609 - Eppan a.d.Weinstrasse,01 - Obstbau,45 - Verschiedene,toniger Schluff,3.1,7.3,+  geringer bis mittlerer Karbonatgehalt,0,8,9,40,1.03,90,18,9,3717/2,36,Limoso argilloso,36,toniger Schluff,75,15,10,672385,5152894
30,30,609 - Eppan a.d.Weinstrasse,01 - Obstbau,26 - Granny Smith,humoser toniger Schluff,5.3,5.7,0  kein freies Karbonat,30,11,13,51,0.95,64,24,22,3695/104,16,mediamente dotato di humus Limoso argilloso,16,toniger Schluff,75,15,10,671945,5152918
31,31,609 - Eppan a.d.Weinstrasse,01 - Obstbau,26 - Granny Smith,humoser toniger Schluff,5.3,5.7,0  kein freies Karbonat,30,11,13,51,0.95,64,24,22,3695/103,16,mediamente dotato di humus Limoso argilloso,16,toniger Schluff,75,15,10,671945,5152911
32,32,609 - Eppan a.d.Weinstrasse,01 - Obstbau,26 - Granny Smith,schluffiger Sand,1.6,7,+  geringer bis mittlerer Karbonatgehalt,0,12,29,35,0.53,64,12,9,3695/102,23,Sabbioso limoso,23,schluffiger Sand,35,5,60,671942,5152903
33,33,609 - Eppan a.d.Weinstrasse,01 - Obstbau,26 - Granny Smith,sandiger Schluff,3.4,7,++  hoher Karbonatgehalt,0,6,14,27,0.67,35,9,9,3718/1,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672603,5152857
34,34,609 - Eppan a.d.Weinstrasse,01 - Obstbau,45 - Verschiedene,sandiger Schluff,3.4,7.2,+++  sehr hoher Karbonatgehalt,0,39,38,35,1.54,30,18,15,3705/79,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672221,5152820
35,35,609 - Eppan a.d.Weinstrasse,01 - Obstbau,45 - Verschiedene,sandiger Schluff,3.4,7.2,+++  sehr hoher Karbonatgehalt,0,39,38,35,1.54,30,18,15,3705/80,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672225,5152801
36,36,609 - Eppan a.d.Weinstrasse,01 - Obstbau,18 - Fuji,sandiger Schluff,3.4,7.3,++  hoher Karbonatgehalt,0,4,12,53,0.92,86,19,8,3695/83,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,671976,5152832
37,37,609 - Eppan a.d.Weinstrasse,01 - Obstbau,45 - Verschiedene,sandiger Schluff,3.4,7.2,+++  sehr hoher Karbonatgehalt,0,39,38,35,1.54,30,18,15,3705/81,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672231,5152781
38,38,609 - Eppan a.d.Weinstrasse,01 - Obstbau, ,stark humoser sandiger Schluff,9.1,7.1,+++  sehr hoher Karbonatgehalt,0,12,24,27,0.85,13,19,11,3695/91,27,umifero Limoso sabbioso,27,sandiger Schluff,65,5,30,671811,5152787
39,39,609 - Eppan a.d.Weinstrasse,01 - Obstbau,19 - Gala,toniger Schluff,3.9,7.3,++  hoher Karbonatgehalt,0,10,22,30,1.74,33,13,8,3705/2,36,Limoso argilloso,36,toniger Schluff,75,15,10,672247,5152760
40,40,609 - Eppan a.d.Weinstrasse,01 - Obstbau, ,humoser sandiger Schluff,4.5,6.8,+  geringer bis mittlerer Karbonatgehalt,0,52,31,38,1.51,80,62,61,3773,9,mediamente dotato di humus Limoso sabbioso,9,sandiger Schluff,65,5,30,673692,5152675
41,41,609 - Eppan a.d.Weinstrasse,01 - Obstbau,19 - Gala,toniger Schluff,2.9,6.6,+  geringer bis mittlerer Karbonatgehalt,0,24,24,55,1.55,113,29,18,3695/76,36,Limoso argilloso,36,toniger Schluff,75,15,10,671985,5152752
42,42,609 - Eppan a.d.Weinstrasse,01 - Obstbau, ,humoser toniger Schluff,4.3,7.2,+  geringer bis mittlerer Karbonatgehalt,0,9,10,44,0.94,83,14,11,3695/75,16,mediamente dotato di humus Limoso argilloso,16,toniger Schluff,75,15,10,671973,5152744
43,43,609 - Eppan a.d.Weinstrasse,01 - Obstbau, ,humoser toniger Schluff,4.3,7.2,+  geringer bis mittlerer Karbonatgehalt,0,9,10,44,0.94,83,14,11,3695/74,16,mediamente dotato di humus Limoso argilloso,16,toniger Schluff,75,15,10,671961,5152737
44,44,609 - Eppan a.d.Weinstrasse,01 - Obstbau,29 - Morgenduft,toniger Schluff,3.7,6.9,+  geringer bis mittlerer Karbonatgehalt,0,12,13,58,0.97,116,22,20,3695/73,36,Limoso argilloso,36,toniger Schluff,75,15,10,671949,5152730
45,45,609 - Eppan a.d.Weinstrasse,01 - Obstbau,26 - Granny Smith,humoser toniger Schluff,4.4,7.1,+++  sehr hoher Karbonatgehalt,0,6,13,18,0.56,17,14,7,3695/93,16,mediamente dotato di humus Limoso argilloso,16,toniger Schluff,75,15,10,671779,5152746
46,46,609 - Eppan a.d.Weinstrasse,01 - Obstbau,26 - Granny Smith,humoser toniger Schluff,7.1,6.8,+  geringer bis mittlerer Karbonatgehalt,0,5,15,39,1.68,134,27,16,3695/70,16,mediamente dotato di humus Limoso argilloso,16,toniger Schluff,75,15,10,671911,5152705
47,47,609 - Eppan a.d.Weinstrasse,01 - Obstbau,45 - Verschiedene,sandiger Schluff,3.6,7.4,+++  sehr hoher Karbonatgehalt,0,9,17,22,1,23,18,6,3705/23,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672354,5152667
48,48,609 - Eppan a.d.Weinstrasse,01 - Obstbau,26 - Granny Smith,humoser sandiger Schluff,6.4,6.4,+  geringer bis mittlerer Karbonatgehalt,0,4,19,42,1.49,90,31,14,3695/65,9,mediamente dotato di humus Limoso sabbioso,9,sandiger Schluff,65,5,30,671853,5152670
49,49,609 - Eppan a.d.Weinstrasse,01 - Obstbau,26 - Granny Smith,humoser sandiger Schluff,6.4,6.4,+  geringer bis mittlerer Karbonatgehalt,0,4,19,42,1.49,90,31,14,3695/64,9,mediamente dotato di humus Limoso sabbioso,9,sandiger Schluff,65,5,30,671841,5152663
50,50,609 - Eppan a.d.Weinstrasse,01 - Obstbau,19 - Gala,toniger Schluff,3.2,7.2,+  geringer bis mittlerer Karbonatgehalt,0,11,27,51,1.53,58,20,7,3695/48,36,Limoso argilloso,36,toniger Schluff,75,15,10,672084,5152659
51,51,609 - Eppan a.d.Weinstrasse,01 - Obstbau, ,sandiger Schluff,3,6.8,+  geringer bis mittlerer Karbonatgehalt,0,21,26,27,0.89,0,66,25,3774/6,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,673986,5152667
52,52,609 - Eppan a.d.Weinstrasse,01 - Obstbau,45 - Verschiedene,sandiger Schluff,3.6,7.4,+++  sehr hoher Karbonatgehalt,0,9,17,22,1,23,18,6,3705/22,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672319,5152648
53,53,609 - Eppan a.d.Weinstrasse,01 - Obstbau,45 - Verschiedene,sandiger Schluff,3.6,7.4,+++  sehr hoher Karbonatgehalt,0,9,17,22,1,23,18,6,3705/21,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672285,5152629
54,54,609 - Eppan a.d.Weinstrasse,01 - Obstbau,19 - Gala,lehmiger Sand,3.1,6.9,+  geringer bis mittlerer Karbonatgehalt,0,26,21,26,0.74,79,22,17,3695/60,17,Sabbioso franco,17,lehmiger Sand,30,20,50,671788,5152640
55,55,609 - Eppan a.d.Weinstrasse,01 - Obstbau,18 - Fuji,toniger Schluff,3.4,7.1,++  hoher Karbonatgehalt,0,16,17,52,1.11,102,19,13,3695/44,36,Limoso argilloso,36,toniger Schluff,75,15,10,672096,5152554
56,56,609 - Eppan a.d.Weinstrasse,01 - Obstbau,19 - Gala,lehmiger Sand,3.1,6.9,+  geringer bis mittlerer Karbonatgehalt,0,26,21,26,0.74,79,22,17,3695/59,17,Sabbioso franco,17,lehmiger Sand,30,20,50,671775,5152636
57,57,609 - Eppan a.d.Weinstrasse,01 - Obstbau,19 - Gala,toniger Schluff,2.9,6.6,+  geringer bis mittlerer Karbonatgehalt,0,24,24,55,1.55,113,29,18,3695/42,36,Limoso argilloso,36,toniger Schluff,75,15,10,672069,5152548
58,58,609 - Eppan a.d.Weinstrasse,01 - Obstbau,19 - Gala,lehmiger Sand,3.1,6.9,+  geringer bis mittlerer Karbonatgehalt,0,26,21,26,0.74,79,22,17,3695/58,17,Sabbioso franco,17,lehmiger Sand,30,20,50,671760,5152619
59,59,609 - Eppan a.d.Weinstrasse,01 - Obstbau,19 - Gala,schluffiger Sand,3.4,7.2,+  geringer bis mittlerer Karbonatgehalt,0,10,12,39,0.95,94,36,11,3723/1,23,Sabbioso limoso,23,schluffiger Sand,35,5,60,672899,5152632
60,60,609 - Eppan a.d.Weinstrasse,01 - Obstbau,45 - Verschiedene,sandiger Schluff,3.6,7.4,+++  sehr hoher Karbonatgehalt,0,9,17,22,1,23,18,6,3705/20,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672250,5152611
61,61,609 - Eppan a.d.Weinstrasse,01 - Obstbau,19 - Gala,toniger Schluff,2.8,7,+  geringer bis mittlerer Karbonatgehalt,0,21,21,33,1.01,90,20,9,3695/151,36,Limoso argilloso,36,toniger Schluff,75,15,10,672035,5152541
62,62,609 - Eppan a.d.Weinstrasse,01 - Obstbau,45 - Verschiedene,sandiger Schluff,3.6,7.4,+++  sehr hoher Karbonatgehalt,0,9,17,22,1,23,18,6,3705/3,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672215,5152595
63,63,609 - Eppan a.d.Weinstrasse,01 - Obstbau,26 - Granny Smith,humoser sandiger Schluff,4.2,7.1,+  geringer bis mittlerer Karbonatgehalt,0,17,7,32,1.12,93,51,15,3720,9,mediamente dotato di humus Limoso sabbioso,9,sandiger Schluff,65,5,30,672868,5152554
64,64,609 - Eppan a.d.Weinstrasse,01 - Obstbau,45 - Verschiedene,sandiger Schluff,3.6,7.4,+++  sehr hoher Karbonatgehalt,0,9,17,22,1,23,18,6,3705/25,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672369,5152564
65,65,609 - Eppan a.d.Weinstrasse,01 - Obstbau,03 - Braeburn,humoser schwach lehmiger Sand,4.8,7.2,+++  sehr hoher Karbonatgehalt,0,4,11,15,0.53,14,43,3,3695/34,13,mediamente dotato di humus Sabbioso debolmente franco,13,lehmiger Sand,20,7,73,671959,5152521
66,66,609 - Eppan a.d.Weinstrasse,01 - Obstbau,18 - Fuji,sandiger Schluff,2.9,7.3,+  geringer bis mittlerer Karbonatgehalt,0,25,12,34,1.04,110,17,18,3719/3,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672748,5152552
67,67,609 - Eppan a.d.Weinstrasse,01 - Obstbau,03 - Braeburn,sandiger Schluff,2.6,6.9,+  geringer bis mittlerer Karbonatgehalt,0,36,21,36,1.04,82,24,28,3770,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,673862,5152524
68,68,609 - Eppan a.d.Weinstrasse,01 - Obstbau,03 - Braeburn,humoser schwach lehmiger Sand,4.8,7.2,+++  sehr hoher Karbonatgehalt,0,4,11,15,0.53,14,43,3,3695/32,13,mediamente dotato di humus Sabbioso debolmente franco,13,lehmiger Sand,20,7,73,671931,5152514
69,69,609 - Eppan a.d.Weinstrasse,01 - Obstbau,45 - Verschiedene,sandiger Schluff,3.6,7.4,+++  sehr hoher Karbonatgehalt,0,9,17,22,1,23,18,6,3705/26,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672384,5152539
70,70,609 - Eppan a.d.Weinstrasse,01 - Obstbau,03 - Braeburn,humoser schwach lehmiger Sand,4.8,7.2,+++  sehr hoher Karbonatgehalt,0,4,11,15,0.53,14,43,3,3695/30,13,mediamente dotato di humus Sabbioso debolmente franco,13,lehmiger Sand,20,7,73,671883,5152528
71,71,609 - Eppan a.d.Weinstrasse,01 - Obstbau, ,sandiger Schluff,2.7,7.1,++  hoher Karbonatgehalt,0,39,23,26,0.81,53,18,22,3719/2,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672635,5152527
72,72,609 - Eppan a.d.Weinstrasse,01 - Obstbau,45 - Verschiedene,stark humoser toniger Schluff,8.6,6.4,+  geringer bis mittlerer Karbonatgehalt,0,6,21,26,0.75,24,27,10,3695/28,33,umifero Limoso argilloso,33,toniger Schluff,75,15,10,671875,5152499
73,73,609 - Eppan a.d.Weinstrasse,01 - Obstbau,03 - Braeburn,toniger Schluff,4,7.2,++  hoher Karbonatgehalt,0,10,24,33,1.51,51,17,11,3705/32,36,Limoso argilloso,36,toniger Schluff,75,15,10,672528,5152495
74,74,609 - Eppan a.d.Weinstrasse,01 - Obstbau,03 - Braeburn,toniger Schluff,4,7.2,++  hoher Karbonatgehalt,0,10,24,33,1.51,51,17,11,3705/31,36,Limoso argilloso,36,toniger Schluff,75,15,10,672495,5152482
75,75,609 - Eppan a.d.Weinstrasse,01 - Obstbau, ,stark humoser lehmiger Sand,14.2,6.4,++  hoher Karbonatgehalt,0,11,35,35,1.25,17,16,11,3695/24,25,umifero Sabbioso franco,25,lehmiger Sand,30,20,50,671825,5152469
76,76,609 - Eppan a.d.Weinstrasse,01 - Obstbau, ,humoser toniger Schluff,4.4,7.1,+  geringer bis mittlerer Karbonatgehalt,0,30,23,41,1.51,44,33,19,3695/47,16,mediamente dotato di humus Limoso argilloso,16,toniger Schluff,75,15,10,672219,5152457
77,77,609 - Eppan a.d.Weinstrasse,01 - Obstbau, ,schluffiger Sand,1.5,7.1,+  geringer bis mittlerer Karbonatgehalt,0,5,8,33,1.02,112,15,13,3733/5,23,Sabbioso limoso,23,schluffiger Sand,35,5,60,673297,5152516
78,78,609 - Eppan a.d.Weinstrasse,01 - Obstbau,03 - Braeburn,toniger Schluff,4,7.2,++  hoher Karbonatgehalt,0,10,24,33,1.51,51,17,11,3705/30,36,Limoso argilloso,36,toniger Schluff,75,15,10,672466,5152467
79,79,609 - Eppan a.d.Weinstrasse,01 - Obstbau,03 - Braeburn,toniger Schluff,4,7.2,++  hoher Karbonatgehalt,0,10,24,33,1.51,51,17,11,3705/33,36,Limoso argilloso,36,toniger Schluff,75,15,10,672593,5152484
80,80,609 - Eppan a.d.Weinstrasse,01 - Obstbau,03 - Braeburn,toniger Schluff,4,7.2,++  hoher Karbonatgehalt,0,10,24,33,1.51,51,17,11,3705/29,36,Limoso argilloso,36,toniger Schluff,75,15,10,672436,5152451
81,81,609 - Eppan a.d.Weinstrasse,01 - Obstbau, ,humoser schwach lehmiger Sand,4.3,7.2,+  geringer bis mittlerer Karbonatgehalt,0,4,15,34,0.9,83,28,19,3774/10,13,mediamente dotato di humus Sabbioso debolmente franco,13,lehmiger Sand,20,7,73,674067,5152486
82,82,609 - Eppan a.d.Weinstrasse,01 - Obstbau,03 - Braeburn,toniger Schluff,4,7.2,++  hoher Karbonatgehalt,0,10,24,33,1.51,51,17,11,3705/28,36,Limoso argilloso,36,toniger Schluff,75,15,10,672408,5152436
83,83,609 - Eppan a.d.Weinstrasse,01 - Obstbau,19 - Gala,sandiger Schluff,2.6,6.8,+  geringer bis mittlerer Karbonatgehalt,0,24,25,26,0.89,52,36,19,3789/1,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,673738,5152431
84,84,609 - Eppan a.d.Weinstrasse,01 - Obstbau,03 - Braeburn,toniger Schluff,4,7.2,++  hoher Karbonatgehalt,0,10,24,33,1.51,51,17,11,3705/27,36,Limoso argilloso,36,toniger Schluff,75,15,10,672367,5152414
85,85,609 - Eppan a.d.Weinstrasse,01 - Obstbau, ,sandiger Schluff,2.2,7.1,+  geringer bis mittlerer Karbonatgehalt,0,37,36,26,1.33,40,45,27,3774/11,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,674067,5152444
86,86,609 - Eppan a.d.Weinstrasse,01 - Obstbau,03 - Braeburn,humoser schwach lehmiger Sand,4.8,7.2,+++  sehr hoher Karbonatgehalt,0,4,11,15,0.53,14,43,3,3695/33,13,mediamente dotato di humus Sabbioso debolmente franco,13,lehmiger Sand,20,7,73,672058,5152358
87,87,609 - Eppan a.d.Weinstrasse,01 - Obstbau,45 - Verschiedene,sandiger Schluff,1.9,7.2,+  geringer bis mittlerer Karbonatgehalt,0,6,10,48,1.12,91,12,6,3705/45,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672713,5152369
88,88,609 - Eppan a.d.Weinstrasse,01 - Obstbau,45 - Verschiedene,sandiger Schluff,3.3,7.3,++  hoher Karbonatgehalt,0,16,30,38,1.08,81,16,11,3741,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,673117,5152388
89,89,609 - Eppan a.d.Weinstrasse,01 - Obstbau,03 - Braeburn,humoser schwach lehmiger Sand,4.8,7.2,+++  sehr hoher Karbonatgehalt,0,4,11,15,0.53,14,43,3,3695/31,13,mediamente dotato di humus Sabbioso debolmente franco,13,lehmiger Sand,20,7,73,672035,5152344
90,90,609 - Eppan a.d.Weinstrasse,01 - Obstbau, ,schluffiger Sand,3,7.1,+  geringer bis mittlerer Karbonatgehalt,0,19,18,33,1.42,81,51,23,3745,23,Sabbioso limoso,23,schluffiger Sand,35,5,60,673291,5152373
91,91,609 - Eppan a.d.Weinstrasse,01 - Obstbau, ,sandiger Schluff,2.3,7.1,+  geringer bis mittlerer Karbonatgehalt,0,19,36,27,0.83,40,36,17,3789/7,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,673776,5152390
92,92,609 - Eppan a.d.Weinstrasse,01 - Obstbau,45 - Verschiedene,sandiger Schluff,1.9,7.2,+  geringer bis mittlerer Karbonatgehalt,0,6,10,48,1.12,91,12,6,3705/44,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672693,5152357
93,93,609 - Eppan a.d.Weinstrasse,01 - Obstbau,19 - Gala,humoser toniger Schluff,4.5,7,+++  sehr hoher Karbonatgehalt,0,19,20,26,0.56,16,20,8,3695/29,16,mediamente dotato di humus Limoso argilloso,16,toniger Schluff,75,15,10,672010,5152329
94,94,609 - Eppan a.d.Weinstrasse,01 - Obstbau,45 - Verschiedene,sandiger Schluff,1.9,7.2,+  geringer bis mittlerer Karbonatgehalt,0,6,10,48,1.12,91,12,6,3705/43,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672671,5152345
95,95,609 - Eppan a.d.Weinstrasse,01 - Obstbau,45 - Verschiedene,sandiger Schluff,1.9,7.2,+  geringer bis mittlerer Karbonatgehalt,0,6,10,48,1.12,91,12,6,3705/42,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672648,5152332
96,96,609 - Eppan a.d.Weinstrasse,01 - Obstbau,45 - Verschiedene,sandiger Schluff,1.9,7.2,+  geringer bis mittlerer Karbonatgehalt,0,6,10,48,1.12,91,12,6,3705/41,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672625,5152318
97,97,609 - Eppan a.d.Weinstrasse,01 - Obstbau,45 - Verschiedene,sandiger Schluff,1.9,7.2,+  geringer bis mittlerer Karbonatgehalt,0,6,10,48,1.12,91,12,6,3705/40,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672602,5152305
98,98,609 - Eppan a.d.Weinstrasse,01 - Obstbau, ,stark humoser lehmiger Sand,9.8,6.3,+  geringer bis mittlerer Karbonatgehalt,0,13,24,52,1.34,17,22,9,3695/23,25,umifero Sabbioso franco,25,lehmiger Sand,30,20,50,671937,5152292
99,99,609 - Eppan a.d.Weinstrasse,01 - Obstbau,45 - Verschiedene,sandiger Schluff,1.9,7.2,+  geringer bis mittlerer Karbonatgehalt,0,6,10,48,1.12,91,12,6,3705/39,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672579,5152292
