FID,FID_,ComuneCata,TipoColtur,Variet_,Bodenart__,Humus____,pH_Wert__i,Karbonate_,Kalkbedarf,Phosphat__,Kali__K_O_,Magnesium_,Bor__B__im,Mangan__Mn,Kupfer__Cu,Zink__Zn__,NUM,ID_string,ID_suolo,Num_Soil,Soil_newCl,Schluff,Tonig,Sand,x_Coord,y_Coord
4520,8188,683 - Lana,01 - Obstbau, ,humoser lehmiger Sand,4.3,6.3,+  geringer bis mittlerer Karbonatgehalt,0,9,12,28,0.93,99,67,21,2127,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,665882,5163149
4521,8189,683 - Lana,01 - Obstbau,45 - Verschiedene,schluffiger Sand,3,6.1,+  geringer bis mittlerer Karbonatgehalt,0,23,12,19,0.64,38,26,29,1853/14,23,Sabbioso limoso,23,schluffiger Sand,35,5,60,667172,5163143
4522,8190,683 - Lana,01 - Obstbau,45 - Verschiedene,schluffiger Sand,3,6.1,+  geringer bis mittlerer Karbonatgehalt,0,23,12,19,0.64,38,26,29,1853/15,23,Sabbioso limoso,23,schluffiger Sand,35,5,60,667177,5163135
4523,8192,683 - Lana,01 - Obstbau,43 - Stayman/Winesap,schluffiger Sand,3.6,6.4,+  geringer bis mittlerer Karbonatgehalt,0,30,16,18,0.66,69,66,35,1848/32,23,Sabbioso limoso,23,schluffiger Sand,35,5,60,666812,5163114
4524,8193,683 - Lana,01 - Obstbau, ,lehmiger Sand,3.3,6.7,+  geringer bis mittlerer Karbonatgehalt,0,20,14,40,1.27,93,46,32,2011,17,Sabbioso franco,17,lehmiger Sand,30,20,50,666066,5163143
4525,8194,683 - Lana,01 - Obstbau,45 - Verschiedene,humoser lehmiger Sand,4.7,7.1,++  hoher Karbonatgehalt,0,7,10,34,0.92,52,11,11,1946/5,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,666334,5163096
4526,8195,683 - Lana,01 - Obstbau,23 - Golden Delicious,humoser lehmiger Sand,4.2,6.5,+  geringer bis mittlerer Karbonatgehalt,0,26,19,32,1.36,123,42,35,2327/3,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,665720,5163127
4527,8196,683 - Lana,01 - Obstbau,23 - Golden Delicious,lehmiger Sand,2,6.7,+  geringer bis mittlerer Karbonatgehalt,0,22,23,23,1.49,166,19,23,2003,17,Sabbioso franco,17,lehmiger Sand,30,20,50,666139,5163096
4528,8197,683 - Lana,01 - Obstbau,45 - Verschiedene,humoser lehmiger Sand,6,6.7,+  geringer bis mittlerer Karbonatgehalt,0,21,22,40,1.59,91,45,43,3020,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,666065,5163104
4529,8198,683 - Lana,01 - Obstbau,39 - Red Delicious Stan,schluffiger Sand,3.3,6.4,+  geringer bis mittlerer Karbonatgehalt,0,20,19,23,0.8,59,31,29,1848/82,23,Sabbioso limoso,23,schluffiger Sand,35,5,60,666972,5163104
4530,8199,683 - Lana,01 - Obstbau, ,humoser lehmiger Sand,6,6.6,+  geringer bis mittlerer Karbonatgehalt,0,26,18,22,0.48,32,45,21,2325/1,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,665792,5163088
4531,8200,683 - Lana,01 - Obstbau,45 - Verschiedene,humoser lehmiger Sand,6,6.7,+  geringer bis mittlerer Karbonatgehalt,0,21,22,40,1.59,91,45,43,2342,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,666091,5163097
4532,8202,683 - Lana,01 - Obstbau,03 - Braeburn,humoser schluffiger Sand,4.5,6.6,+  geringer bis mittlerer Karbonatgehalt,0,32,22,23,0.94,61,32,40,1848/81,12,mediamente dotato di humus Sabbioso limoso,12,schluffiger Sand,35,5,60,666918,5163100
4533,8203,683 - Lana,01 - Obstbau,19 - Gala,humoser lehmiger Sand,4.3,7.2,+++  sehr hoher Karbonatgehalt,0,18,28,28,0.59,39,17,15,1877/1,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,666666,5162998
4534,8205,683 - Lana,01 - Obstbau,03 - Braeburn,humoser sandiger Schluff,4.6,7,+  geringer bis mittlerer Karbonatgehalt,0,7,35,46,1.02,70,15,16,1880/2,9,mediamente dotato di humus Limoso sabbioso,9,sandiger Schluff,65,5,30,666546,5163096
4535,8206,683 - Lana,01 - Obstbau,18 - Fuji,schluffiger Sand,2.2,6.3,+  geringer bis mittlerer Karbonatgehalt,0,25,18,17,0.75,49,42,27,1853/22,23,Sabbioso limoso,23,schluffiger Sand,35,5,60,667191,5163077
4536,8207,683 - Lana,01 - Obstbau,18 - Fuji,schwach lehmiger Sand,2.8,6.9,++  hoher Karbonatgehalt,0,29,30,21,0.84,36,17,14,1947/10,24,Sabbioso debolmente franco,24,lehmiger Sand,20,7,73,666436,5163085
4537,8209,683 - Lana,01 - Obstbau,18 - Fuji,schwach lehmiger Sand,2.8,6.9,++  hoher Karbonatgehalt,0,29,30,21,0.84,36,17,14,1946/4,24,Sabbioso debolmente franco,24,lehmiger Sand,20,7,73,666336,5163062
4538,8210,683 - Lana,01 - Obstbau,23 - Golden Delicious,humoser lehmiger Sand,4.1,6.8,+  geringer bis mittlerer Karbonatgehalt,0,17,14,33,1.45,137,43,33,2334,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,665902,5162964
4539,8212,683 - Lana,01 - Obstbau,19 - Gala,schluffiger Sand,2.9,6.7,+  geringer bis mittlerer Karbonatgehalt,0,22,21,19,0.64,46,57,28,1853/27,23,Sabbioso limoso,23,schluffiger Sand,35,5,60,667220,5163031
4540,8213,683 - Lana,01 - Obstbau,45 - Verschiedene,humoser lehmiger Sand,4.2,7.1,+++  sehr hoher Karbonatgehalt,0,22,18,16,0.75,17,10,16,1947/9,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,666440,5163028
4541,8214,683 - Lana,01 - Obstbau,19 - Gala,schluffiger Sand,2.9,6.7,+  geringer bis mittlerer Karbonatgehalt,0,22,21,19,0.64,46,57,28,1853/28,23,Sabbioso limoso,23,schluffiger Sand,35,5,60,667225,5163022
4542,8215,683 - Lana,01 - Obstbau,45 - Verschiedene,humoser lehmiger Sand,4.2,7.1,+++  sehr hoher Karbonatgehalt,0,22,18,16,0.75,17,10,16,1946/3,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,666338,5163022
4543,8216,683 - Lana,01 - Obstbau,19 - Gala,humoser lehmiger Sand,4.7,6.9,+  geringer bis mittlerer Karbonatgehalt,0,35,24,27,0.79,71,41,28,1848/52,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,667042,5162985
4544,8217,683 - Lana,01 - Obstbau,10 - Pink Lady,humoser lehmiger Sand,4.2,6.7,+  geringer bis mittlerer Karbonatgehalt,0,30,12,35,1.52,124,56,23,2347,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30,20,50,665940,5162965
4545,8218,683 - Lana,01 - Obstbau,19 - Gala,schwach lehmiger Sand,2.7,6.5,+  geringer bis mittlerer Karbonatgehalt,0,20,13,24,0.7,71,17,24,2000/1,24,Sabbioso debolmente franco,24,lehmiger Sand,20,7,73,666185,5162978
